ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Shell,ConceptInSource
Chan-14_breast-1,,Chan,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
Shar-14_breast-1,,Shar,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
ProPaTa-15_moonsun-1,,ProPaTa,15_moonsun,badi,badi,b a d i,None,Valenzuela2023,40,,,,b a d i ( - - ),16,Sun
ProPa-15_moonsun-1,,ProPa,15_moonsun,βari,βari,β a r i,None,Valenzuela2023,40,,,,β a r i ( - - ),16,Sun
Ksh-15_moonsun-1,,Ksh,15_moonsun,βaɾi,βaɾi,β a ɾ i,None,Valenzuela2023,40,,,,β a ɾ i ( - - ),16,Sun
SK-15_moonsun-1,,SK,15_moonsun,βaɾi,βaɾi,β a ɾ i,None,Valenzuela2023,40,,,,β a ɾ i ( - - ),16,Sun
Kap-15_moonsun-1,,Kap,15_moonsun,βaɾi,βaɾi,β a ɾ i,None,Valenzuela2023,40,,,,β a ɾ i ( - - ),16,Sun
Mar-15_moonsun-1,,Mar,15_moonsun,vaɾi,vaɾi,β a ɾ i,None,Valenzuela2023,40,,,,β a ɾ i ( - - ),16,Sun
Chak-15_moonsun-1,,Chak,15_moonsun,βaɾi,βaɾi,β a ɾ i,None,Valenzuela2023,40,,,,β a ɾ i ( - - ),16,Sun
Kax-15_moonsun-1,,Kax,15_moonsun,βatʃi,βatʃi,β a tʃ i,None,Valenzuela2023,40,,,,β a tʃ i ( - - ),16,Sun
Chan-15_moonsun-1,,Chan,15_moonsun,ɸaɾi,ɸaɾi,ɸ a ɾ i,None,Valenzuela2023,40,,,,ɸ a ɾ i ( - - ),16,Sun
Shar-15_moonsun-1,,Shar,15_moonsun,ɸari,ɸari,ɸ a r i,None,Valenzuela2023,40,,,,ɸ a r i ( - - ),16,Sun
ProPaTa-16_you-1,,ProPaTa,16_you,mi,mi,m i,None,Valenzuela2023,47,,,,m i ( - - - - - ),72,You
ProPa-16_you-1,,ProPa,16_you,mi,mi,m i,None,Valenzuela2023,47,,,,m i ( - - - - - ),72,You
Ksh-16_you-1,,Ksh,16_you,miː,miː,m !iː/i,None,Valenzuela2023,47,,,,m !iː/i ( - - - - - ),72,You
SK-16_you-1,,SK,16_you,mia,mia,m i a,None,Valenzuela2023,47,,,,m i ( - - a - - ),72,You
Kap-16_you-1,,Kap,16_you,mia,mia,m i a,None,Valenzuela2023,47,,,,m i ( - - a - - ),72,You
