ID	ALIGNMENT	COGID	TOKENS	CONCEPT	CONCEPTINSOURCE	SHELL	DOCULECT	FORM	VALUE	NOTE
176	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Kakataibo	nami	nami	None
177	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	ShipiboKonibo	nami	nami	None
178	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Kapanawa	nami	nami	None
179	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Marubo	nami	nami	None
180	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Chacobo	nami	nami	None
181	( - - ) l a m i	23	l a m i	Flesh	Flesh	78	Kaxarari	lami	lami	None
182	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Yaminawa	nami	nami,nãmi	None
183	( - - ) n a b i	23	n a b i	Flesh	Flesh	78	Chaninawa	nabi	nabi,dami	None
184	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Sharanawa	nami	nami,namin	None
185	( - - ) ʂ ɨ !N/r i	20	ʂ ɨ !N/r i	Fat	Fat	99	Proto-Pano-Takana	ʂɨNi	ʂɨNi	None
186	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Proto-Pano	ʂɨni	ʂɨni	None
187	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Kakataibo	ʂɨni	ʂɨni	None
188	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	ShipiboKonibo	ʂɨni	ʂɨni	None
189	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Kapanawa	ʂɨni	ʂɨni	None
190	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Marubo	ʂɨni	ʂɨni	None
191	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Chacobo	ʂɨni	ʂɨni	None
192	( - - ) ʂ ɨ n !ĩ/i	20	ʂ ɨ n !ĩ/i	Fat	Fat	99	Yaminawa	ʂɨnĩ	ʂɨnĩ	None
193	( - - ) ʃ ɨ d i	20	ʃ ɨ d i	Fat	Fat	99	Chaninawa	ʃɨdi	ʃɨdi,ʃidi,ʂidi	None
194	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Sharanawa	ʂɨni	ʂɨni	None
195	( - - ) m ɨ - ( + ) ts i z i ( - - - - - )	21	m ɨ + ts i z i	Fingernail	Fingernail	None	Proto-Pano-Takana	mɨ-tsizi	mɨ-tsizi	None
196	( - - ) m ɨ !∼/n ( + ) ts i s i ( - - - - - )	21	m ɨ !∼/n + ts i s i	Fingernail	Fingernail	None	Proto-Pano	mɨ̃-tsisi	mɨ̃-tsis[i]	None
197	( - - ) - u n ( - ) ts i s - ( - - - - - )	21	u n ts i s	Fingernail	Fingernail	None	Kakataibo	Untsis	Untsis,untsɨs	None
198	( - - ) m !ɨ̃/ɨ n ( - ) ts i s - ( - - - - - )	21	m !ɨ̃/ɨ n ts i s	Fingernail	Fingernail	None	ShipiboKonibo	mɨ̃ntsis	mɨ̃ntsis,mɨ̃tsis	None
199	( - - ) m !ɨ̃/ɨ n ( - ) ts i s - ( - - - - - )	21	m !ɨ̃/ɨ n ts i s	Fingernail	Fingernail	None	Kapanawa	mɨ̃ntsis	mɨ̃ntsis	None
200	( - - ) m ɨ ∼ ( - ) ts i s i ( - - - - - )	21	m ɨ ∼ ts i s i	Fingernail	Fingernail	None	Marubo	mɨ̃tsisi	mɨ̃tsisi	None
201	( - - ) m ɨ ∼ ( - ) ts i s - ( - - - - - )	21	m ɨ ∼ ts i s	Fingernail	Fingernail	None	Chacobo	mɨ̃tsis	mɨ̃tsis,mɨ̃tsisi	None
202	( - - ) m ɨ ∼ ( - ) tʃ i s i ( - - - - - )	21	m ɨ ∼ tʃ i s i	Fingernail	Fingernail	None	Kaxarari	mɨ̃tʃisi	mɨ̃tʃisi	None
203	( - - ) m i - ( - ) ts i s - ( - - - - - )	21	m i ts i s	Fingernail	Fingernail	None	Yaminawa	mitsis	mitsis,mitsisi	None
204	( - - ) b i - ( - ) ts i s - ( - - - - - )	21	b i ts i s	Fingernail	Fingernail	None	Chaninawa	bitsis	bitsis(otsis)	None
205	( - - ) m ɨ - ( - ) ts i s i ( - - - - - )	21	m ɨ ts i s i	Fingernail	Fingernail	None	Sharanawa	mɨtsisi	mɨtsisi,otsisi	None
206	( - - - - ) t a ( - - - - - - - )	24	t a	Foot,leg	Foot,leg	103	Proto-Pano-Takana	ta-	ta-	None
207	( - - - - ) t a ( - - - - - - - )	24	t a	Foot,leg	Foot,leg	103	Proto-Pano	ta-	ta-	'foot'
208	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Kakataibo	taɨ	taɨ	None
209	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	ShipiboKonibo	taɨ	taɨ	None
210	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Kapanawa	taʔɨ	taʔɨ	None
211	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Marubo	taɨ	taɨ	None
212	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Chacobo	taʔɨ	taʔɨ	None
213	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Kaxarari	taʔɨ	taʔɨ	None
214	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Yaminawa	taɨ	taɨ,taɨ̃	None
215	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Chaninawa	taɨ	taɨ	None
216	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Sharanawa	taɨ	taɨ,taɨn	None
217	( - - ) kʷ ɨ ( - - - - - - - - )	32	kʷ ɨ	Lip,edge	Lip,edge	59	Proto-Pano-Takana	kʷɨ	kʷɨ~kɨ-	None
218	( - - ) kʷ ɨ ( - - - - - - - - )	32	kʷ ɨ	Lip,edge	Lip,edge	59	Proto-Pano	kʷɨ-	kʷɨ-	None
219	( - - ) kʷ ɨ ( β i - - - - - - )	32	kʷ ɨ β i	Lip,edge	Lip,edge	59	Kakataibo	kʷɨβi-	kʷɨβi-	None
220	( - - ) k ɨ ( β i - - - - - - )	32	k ɨ β i	Lip,edge	Lip,edge	59	ShipiboKonibo	kɨβi-	kɨβi-	None
221	( - - ) k ɨ ( β i tʃ i - - - - )	32	k ɨ β i tʃ i	Lip,edge	Lip,edge	59	Chacobo	kɨβitʃi	kɨβitʃi	None
